Date,Close,log_return,Volatil_D7,Volatil_D14,Volatil_D21,Volatil_D28
2018-01-29,11251.0,-0.05439509158249847,0.6905718079347765,1.5220408742539597,1.3711323781512588,1.367343459795732
2018-01-30,10237.51,-0.09439858760924733,1.0053291855777344,1.1432581870685923,1.4101982599553207,1.3515146838588907
2018-01-31,10285.1,0.004637819975389339,0.895482586409413,1.142320881236002,1.3959367943968952,1.3487016555091143
2018-02-01,9224.52,-0.10883108990254975,1.127961644377894,1.259499676247851,1.3834705988267335,1.3887925420674418
2018-02-02,8873.03,-0.03884881716142667,1.117298375636366,1.2235540620991783,1.3651299437825837,1.2928561694585805
2018-02-03,9199.96,0.03618279732835513,1.1194060478333077,1.0547499783895544,1.3670256292897194,1.3064464351487362
2018-02-04,8184.81,-0.1169191388606565,1.1138420223857033,1.0830503376094778,1.419508944407301,1.3459479137356165
2018-02-05,6939.99,-0.1649796637633145,1.3762430104425682,1.2856506244646786,1.5294240392965033,1.4259011580092893
2018-02-06,7652.14,0.0976850136855151,1.7957915118014482,1.4381054114375231,1.3907835191922613,1.4950835588849272
2018-02-07,7599.0,-0.006968687593351903,1.7795008821998484,1.3839118169960387,1.3872608156560924,1.481054270682425
2018-02-08,7784.02,0.024056254565828366,1.7398107453977594,1.4089850326794522,1.3968980115338674,1.4470501581792092
2018-02-09,8683.92,0.10940012537559372,1.9772998497036642,1.5690729071031586,1.4717102650764715,1.5071846351738138
2018-02-10,8533.98,-0.017417198432916687,1.9502535232111105,1.5418378208658823,1.3704895192871351,1.4955055463752274
2018-02-11,8063.88,-0.05666101093024384,1.792858314504402,1.5207661815069933,1.3301481923377965,1.4966801110813996
2018-02-12,8903.0,0.09899346832562467,1.271784982200886,1.641948365193044,1.3931552498492428,1.5539076922133117
2018-02-13,8539.9,-0.04163900046148712,1.255751415611173,1.5932448146522376,1.3984261469904444,1.3631997048173206
2018-02-14,9449.99,0.1012643851739862,1.374583704619701,1.6962559340519041,1.4547463964451621,1.419087062484256
2018-02-15,10000.09,0.056580409649512595,1.3844122944541242,1.6235549659031334,1.4794454794494662,1.4366353094825048
2018-02-16,10159.98,0.015862380690915286,1.2389844667624021,1.6052731960326616,1.4820021108532941,1.4268718516263939
2018-02-17,11039.55,0.08302780550417584,1.2546886256578367,1.6443375400384552,1.5179766069727516,1.4015432077025243
2018-02-18,10383.43,-0.061273012835288285,1.2758457547112692,1.542254261147844,1.529113996249044,1.3684872363850609
2018-02-19,11153.0,0.07149725369905101,1.2070037777134706,1.1916536299516831,1.5469874438832327,1.371847869893006
2018-02-20,11200.99,0.00429364723937341,1.0743770464078415,1.1457981475805252,1.4912797087595568,1.3718653240077503
2018-02-21,10437.6,-0.07058749628237194,1.1777699651864248,1.2411666307582296,1.5235803884737449,1.3831741699163345
2018-02-22,9811.04,-0.0619063887400933,1.2281011933927886,1.3139505258163262,1.4737597318267326,1.3989040026228616
2018-02-23,10131.04,0.03209569611200183,1.248474018063587,1.2161945615776488,1.466713705607868,1.4050939944707992
2018-02-24,9694.51,-0.0440442324402057,1.053901362262588,1.2410147061986576,1.475009884301542,1.404762648523901
2018-02-25,9590.0,-0.010838857005757338,0.9905802062712664,1.1939978155403608,1.3816242582751463,1.3970621553389762
2018-02-26,10324.0,0.07375039296102064,1.002111029433365,1.1486819495997103,1.1815854594022412,1.415584883656576
2018-02-27,10569.04,0.0234576908169124,1.0291329393776563,1.1131382443409579,1.1307037122104797,1.376202660316224
