residuo_h1,fold,indice
0.0301,0,0
0.0099,0,1
-0.0183,0,2
-0.0363,0,3
0.0983,0,4
0.1421,0,5
0.0385,0,6
0.1764,0,7
0.0071,0,8
-0.0083,0,9
0.0534,0,10
0.1251,0,11
0.0924,0,12
0.0683,0,13
0.0252,0,14
0.0203,0,15
0.2565,0,16
-0.0033,0,17
0.0355,0,18
-0.0391,0,19
0.0175,0,20
-0.0096,0,21
0.0707,0,22
0.182,0,23
0.0065,0,24
-0.0292,0,25
-0.0239,0,26
0.0226,0,27
-0.0527,0,28
-0.0589,0,29
-0.0761,0,30
-0.055,0,31
0.0021,0,32
-0.0307,0,33
-0.0631,0,34
-0.047,0,35
-0.0544,0,36
-0.0929,0,37
-0.0412,0,38
0.0174,1,0
-0.0065,1,1
0.0263,1,2
-0.0517,1,3
0.1209,1,4
-0.0106,1,5
0.0441,1,6
0.1325,1,7
-0.0146,1,8
-0.0446,1,9
0.116,1,10
0.2972,1,11
0.0159,1,12
0.1547,1,13
0.0338,1,14
0.0193,1,15
-0.0146,1,16
0.0305,1,17
0.0389,1,18
-0.0126,1,19
-0.0049,1,20
0.0648,1,21
0.0759,1,22
0.0394,1,23
0.0074,1,24
0.0043,1,25
-0.0133,1,26
-0.0152,1,27
-0.0133,1,28
-0.0669,1,29
-0.0811,1,30
-0.0714,1,31
-0.0282,1,32
-0.0347,1,33
0.0341,1,34
-0.0509,1,35
-0.0932,1,36
-0.0332,1,37
0.072,1,38
0.0519,2,0
0.0077,2,1
0.0433,2,2
0.0348,2,3
-0.01,2,4
-0.0144,2,5
0.0658,2,6
0.0353,2,7
-0.0651,2,8
-0.0357,2,9
0.0264,2,10
0.0053,2,11
-0.0326,2,12
-0.0278,2,13
0.0412,2,14
-0.0133,2,15
-0.0208,2,16
-0.0502,2,17
0.0238,2,18
0.0101,2,19
0.0029,2,20
0.0744,2,21
0.0163,2,22
-0.0024,2,23
-0.0157,2,24
0.0751,2,25
-0.1213,2,26
-0.0065,2,27
-0.0382,2,28
-0.0553,2,29
-0.0504,2,30
-0.055,2,31
-0.0347,2,32
-0.0455,2,33
0.0207,2,34
-0.0343,2,35
-0.1672,2,36
-0.0134,2,37
0.0458,2,38
-0.037,3,0
0.0386,3,1
0.0666,3,2
0.0021,3,3
0.1028,3,4
0.001,3,5
0.0855,3,6
0.1065,3,7
-0.087,3,8
0.076,3,9
0.047,3,10
0.1339,3,11
-0.0521,3,12
-0.0395,3,13
0.0596,3,14
0.0152,3,15
-0.0414,3,16
0.0241,3,17
-0.0515,3,18
0.0231,3,19
-0.0208,3,20
-0.0044,3,21
0.0723,3,22
0.0192,3,23
-0.1292,3,24
0.1606,3,25
-0.0848,3,26
0.0049,3,27
0.0542,3,28
-0.018,3,29
-0.0746,3,30
-0.0094,3,31
-0.0164,3,32
-0.0057,3,33
0.0252,3,34
0.009,3,35
0.0306,3,36
-0.0363,3,37
-0.0257,3,38
0.0637,4,0
-0.1268,4,1
-0.0488,4,2
-0.0043,4,3
-0.0046,4,4
-0.2264,4,5
0.1191,4,6
-0.0638,4,7
0.1799,4,8
-0.1712,4,9
0.0058,4,10
0.0418,4,11
0.1081,4,12
-0.0875,4,13
0.0561,4,14
-0.0418,4,15
0.0956,4,16
0.0012,4,17
0.1016,4,18
-0.0358,4,19
0.0696,4,20
0.008,4,21
-0.0703,4,22
0.033,4,23
0.17,4,24
0.0105,4,25
0.0389,4,26
-0.0442,4,27
-0.033,4,28
-0.0875,4,29
-0.0521,4,30
-0.0326,4,31
0.0526,4,32
-0.0712,4,33
-0.0316,4,34
-0.0523,4,35
0.0137,4,36
0.0088,4,37
0.003,4,38
