residuo_h1,fold,indice
0.1016,0,0
-0.1107,0,1
-0.0035,0,2
0.0118,0,3
0.0869,0,4
0.3483,0,5
0.069,0,6
0.0128,0,7
1.4057,0,8
-0.0672,0,9
-0.0998,0,10
0.0926,0,11
0.0736,0,12
0.2612,0,13
-0.0126,0,14
-0.1091,0,15
-0.001,0,16
0.0028,0,17
-0.1744,0,18
-0.2312,0,19
-0.0482,0,20
-0.0355,0,21
0.0217,0,22
-0.0184,0,23
-0.0395,0,24
0.0828,0,25
-0.0606,0,26
-0.0323,0,27
0.0349,0,28
0.1968,1,0
-0.126,1,1
-0.0905,1,2
0.0058,1,3
0.128,1,4
0.2552,1,5
-0.218,1,6
0.0463,1,7
1.4838,1,8
-0.0683,1,9
-0.1435,1,10
0.1537,1,11
0.0824,1,12
0.2739,1,13
-0.0457,1,14
-0.1136,1,15
-0.003,1,16
-0.065,1,17
-0.2131,1,18
-0.2645,1,19
-0.0809,1,20
0.0447,1,21
0.0302,1,22
-0.0581,1,23
-0.037,1,24
0.1232,1,25
-0.0889,1,26
-0.0277,1,27
0.1292,1,28
0.2252,2,0
0.0203,2,1
-0.1248,2,2
0.0585,2,3
0.1075,2,4
0.2635,2,5
-0.2613,2,6
-0.0789,2,7
1.3093,2,8
0.0645,2,9
-0.1853,2,10
0.0117,2,11
0.2243,2,12
0.2699,2,13
-0.0787,2,14
-0.1267,2,15
-0.0339,2,16
-0.1413,2,17
-0.1286,2,18
-0.2848,2,19
-0.0974,2,20
0.0737,2,21
0.0096,2,22
-0.0664,2,23
-0.0024,2,24
0.0906,2,25
-0.1093,2,26
0.0432,2,27
0.0878,2,28
0.1507,3,0
0.026,3,1
-0.1199,3,2
0.0156,3,3
0.1232,3,4
0.1776,3,5
-0.2778,3,6
-0.1109,3,7
0.0545,3,8
0.0605,3,9
-0.1682,3,10
0.0589,3,11
0.1056,3,12
0.3108,3,13
-0.1114,3,14
-0.1515,3,15
-0.0162,3,16
-0.1834,3,17
-0.1381,3,18
-0.2965,3,19
-0.0704,3,20
0.0982,3,21
0.03,3,22
-0.0483,3,23
-0.0099,3,24
0.125,3,25
-0.0757,3,26
0.0444,3,27
0.117,3,28
-0.0015,4,0
-0.0868,4,1
-0.1225,4,2
0.3194,4,3
-0.0063,4,4
0.208,4,5
-0.09,4,6
-0.0166,4,7
-0.1646,4,8
-0.0746,4,9
0.049,4,10
-0.078,4,11
0.2765,4,12
-0.1023,4,13
-0.0422,4,14
0.0164,4,15
-0.0575,4,16
0.0403,4,17
0.0757,4,18
0.0483,4,19
-0.3808,4,20
-0.1146,4,21
-0.06,4,22
0.012,4,23
-0.033,4,24
-0.1352,4,25
-0.0922,4,26
-0.0851,4,27
-0.0511,4,28
-0.043,4,29
