Horizon,mae_mean,mae_std,mse_mean,mse_std,RMSE_mean,RMSE_std
1,0.0961,0.0348,0.0375,0.0394,0.1749,0.0928
2,0.125,0.0296,0.052,0.0475,0.2124,0.0927
3,0.1554,0.0245,0.0623,0.0438,0.2391,0.0804
4,0.1676,0.0138,0.0677,0.0429,0.2519,0.0734
5,0.1857,0.0154,0.0736,0.042,0.2643,0.0684
6,0.2046,0.0187,0.0822,0.0448,0.2799,0.0695
7,0.2156,0.0102,0.0894,0.0459,0.2927,0.068
avg,0.1643,0.0195,0.0664,0.0432,0.245,0.0762
