Horizon,mae_mean,mae_std,mse_mean,mse_std,RMSE_mean,RMSE_std
1,0.0517,0.0094,0.005,0.0018,0.0698,0.0135
2,0.0666,0.0075,0.0075,0.0016,0.0862,0.0091
3,0.078,0.0092,0.0109,0.0026,0.1038,0.0126
4,0.0929,0.0215,0.0149,0.0054,0.1207,0.0203
5,0.0952,0.0104,0.0143,0.0015,0.1197,0.0061
6,0.096,0.0064,0.0156,0.0035,0.124,0.0145
7,0.1112,0.0081,0.0194,0.0035,0.139,0.0119
avg,0.0845,0.0081,0.0125,0.0022,0.109,0.0098
