Horizon,mae_mean,mae_std,mse_mean,mse_std,RMSE_mean,RMSE_std
1,0.0939,0.034,0.0176,0.0093,0.1283,0.0379
2,0.11,0.0285,0.0263,0.0107,0.1585,0.0385
3,0.1234,0.0208,0.0441,0.0188,0.2053,0.0498
4,0.1168,0.0201,0.0282,0.0138,0.1643,0.039
5,0.1446,0.0218,0.0342,0.0102,0.1832,0.0287
6,0.1382,0.0238,0.0344,0.0148,0.1823,0.0378
7,0.139,0.0154,0.0345,0.0108,0.1841,0.0268
avg,0.1237,0.0192,0.0313,0.009,0.1723,0.0275
