residuo_h1,fold,indice
-0.0238,1,8
-0.1025,1,9
-0.1119,1,10
-0.011,1,11
0.0643,1,12
0.3781,1,13
-0.042,1,14
-0.0253,1,15
0.5077,1,16
-0.0424,1,17
0.2016,1,18
-0.0398,1,19
-0.0639,1,20
-0.0147,1,21
0.0199,1,22
-0.0528,1,23
0.042,1,24
-0.1766,1,25
0.0449,1,26
-0.1196,1,27
0.1786,1,28
-0.0397,1,29
-0.0028,1,30
-0.2152,1,31
0.0396,1,32
-0.4993,1,33
-0.3029,1,34
-0.5967,1,35
0.0363,1,36
-0.1505,1,37
-0.0474,1,38
-0.0581,1,39
-0.0281,1,40
0.1071,1,41
-0.027,1,42
0.0052,1,43
0.0898,1,44
-0.0056,1,45
-0.0453,1,46
-0.0261,1,47
0.3686,1,48
-0.0457,1,49
0.0979,1,50
-0.0116,1,51
0.1034,1,52
0.1659,1,53
-0.0115,1,54
0.0196,1,55
0.0723,1,56
-0.0529,1,57
-0.0183,1,58
-0.0351,1,59
-0.0705,1,60
-0.0114,1,61
0.0213,1,62
-0.2429,1,63
0.1379,1,64
-0.0319,1,65
0.0103,1,66
0.0513,1,67
-0.0138,1,68
0.0056,1,69
0.0321,1,70
-0.0062,1,71
-0.0531,1,72
-0.05,1,73
-0.053,1,74
-0.0075,1,75
-0.0215,1,76
-0.1108,1,77
0.0886,1,78
0.017,1,79
-0.0025,1,80
-0.1086,1,81
0.0912,1,82
-0.113,1,83
-0.011,1,84
-0.1529,1,85
-0.1096,1,86
-0.1359,1,87
-0.231,1,88
-0.0281,1,89
0.3036,1,90
0.2287,1,91
0.0295,1,92
-0.0255,1,93
-0.0581,1,94
0.0252,1,95
-0.0573,1,96
-0.1547,1,97
-0.0065,1,98
-0.1249,1,99
-0.0198,1,100
-0.0516,1,101
-0.0229,1,102
-0.0115,1,103
0.0452,1,104
0.0096,1,105
-0.0103,1,106
0.0003,1,107
0.0291,1,108
-0.0838,1,109
0.0031,1,110
-0.0853,2,0
-0.0492,2,1
0.053,2,2
-0.0212,2,3
0.1335,2,4
-0.0301,2,5
-0.011,2,6
-0.1872,2,7
0.011,2,8
-0.2164,2,9
-0.0355,2,10
0.0033,2,11
0.0078,2,12
-0.1338,2,13
-0.0715,2,14
-0.0233,2,15
0.0005,2,16
-0.0719,2,17
-0.0393,2,18
0.1025,2,19
-0.2287,2,20
0.0348,2,21
0.0751,2,22
-0.1243,2,23
-0.0972,2,24
-0.0139,2,25
0.0502,2,26
-0.1415,2,27
-0.0013,2,28
0.0182,2,29
0.0933,2,30
-0.0207,2,31
0.0734,2,32
-0.592,2,33
-0.0053,2,34
-0.0218,2,35
-0.0074,2,36
-0.1107,2,37
-0.083,2,38
0.1468,2,39
-0.0168,2,40
0.029,2,41
-0.0613,2,42
0.3687,2,43
0.046,2,44
0.1224,2,45
0.0901,2,46
0.0244,2,47
-0.1678,2,48
-0.0243,2,49
-0.0124,2,50
0.0394,2,51
-0.2136,2,52
0.1221,2,53
-0.0901,2,54
-0.031,2,55
0.0231,2,56
0.1153,2,57
0.0642,2,58
0.1497,2,59
-0.0026,2,60
-0.1673,2,61
-0.0299,2,62
-0.0831,2,63
0.1271,2,64
-0.0295,2,65
-0.1123,2,66
-0.1579,2,67
-0.0182,2,68
-0.1735,2,69
-0.058,2,70
0.0126,2,71
-0.0359,2,72
-0.0027,2,73
0.0132,2,74
0.0841,2,75
-0.0042,2,76
-0.1546,2,77
-0.0505,2,78
-0.0035,2,79
0.0025,2,80
-0.0106,2,81
0.0127,2,82
-0.0445,2,83
0.1876,2,84
-0.0553,2,85
-0.0979,2,86
-0.0127,2,87
-0.0322,2,88
-0.0201,2,89
0.0276,2,90
0.0523,2,91
0.0579,2,92
-0.0044,2,93
0.0632,2,94
0.0017,2,95
0.0235,2,96
-0.1742,2,97
0.03,2,98
-0.018,2,99
-0.0105,2,100
-0.1551,2,101
-0.0454,2,102
0.0029,2,103
0.0506,2,104
0.0563,2,105
0.0101,2,106
0.0015,2,107
0.1103,2,108
-0.0297,2,109
-0.0597,2,110
0.0923,3,0
0.2586,3,1
-0.0038,3,2
-0.0437,3,3
0.1239,3,4
0.0692,3,5
-0.0321,3,6
0.0332,3,7
-0.0089,3,8
-0.0498,3,9
-0.0594,3,10
-0.0903,3,11
0.0898,3,12
-0.0012,3,13
-0.0297,3,14
0.0127,3,15
-0.0591,3,16
-0.1081,3,17
-0.6383,3,18
-0.1675,3,19
0.0972,3,20
-0.0175,3,21
0.0828,3,22
-0.0158,3,23
0.0473,3,24
-0.0801,3,25
-0.0409,3,26
-0.152,3,27
0.1103,3,28
0.4251,3,29
0.0234,3,30
-0.0052,3,31
-0.0357,3,32
-1.7662,3,33
0.0776,3,34
-0.0282,3,35
0.1626,3,36
-0.1408,3,37
-0.0283,3,38
0.0057,3,39
-0.0218,3,40
-0.0442,3,41
-0.0348,3,42
-0.1164,3,43
-0.0794,3,44
0.049,3,45
0.0465,3,46
-0.0332,3,47
-0.089,3,48
0.0324,3,49
-0.0661,3,50
-0.0552,3,51
0.0423,3,52
0.19,3,53
0.0104,3,54
0.0819,3,55
0.1084,3,56
0.1512,3,57
0.2034,3,58
0.0424,3,59
-0.0057,3,60
0.076,3,61
-0.025,3,62
0.0069,3,63
-0.0285,3,64
-0.0291,3,65
0.0411,3,66
0.1369,3,67
0.0449,3,68
-0.1415,3,69
0.1553,3,70
0.0101,3,71
-0.1461,3,72
-0.094,3,73
-0.0202,3,74
0.3446,3,75
-0.0607,3,76
-0.0933,3,77
0.0984,3,78
-0.0636,3,79
-0.0627,3,80
0.0172,3,81
-0.0467,3,82
-0.0638,3,83
0.117,3,84
-0.1745,3,85
-0.2336,3,86
-0.0562,3,87
-0.2045,3,88
-0.0189,3,89
-0.038,3,90
0.0064,3,91
-0.0099,3,92
-0.058,3,93
-0.0345,3,94
0.0228,3,95
-0.013,3,96
0.0097,3,97
-0.0207,3,98
0.2048,3,99
-0.0172,3,100
0.0405,3,101
0.0111,3,102
-0.3956,3,103
0.0111,3,104
0.0768,3,105
-0.0731,3,106
0.0776,3,107
-0.047,3,108
-0.1085,3,109
-0.0229,3,110
0.0579,4,0
0.3045,4,1
0.1048,4,2
0.0375,4,3
0.0313,4,4
-0.0806,4,5
-0.0045,4,6
-0.0436,4,7
-0.1651,4,8
0.1917,4,9
-0.0404,4,10
-0.1735,4,11
0.2676,4,12
-0.0374,4,13
0.1612,4,14
-0.0761,4,15
-0.4728,4,16
-0.0081,4,17
0.8583,4,18
0.1286,4,19
0.1697,4,20
-0.0495,4,21
0.5172,4,22
0.0392,4,23
-0.0524,4,24
-0.1965,4,25
-0.2151,4,26
0.5639,4,27
-0.0531,4,28
0.0146,4,29
0.2678,4,30
0.1042,4,31
0.0275,4,32
2.7337,4,33
0.0857,4,34
-0.2418,4,35
0.007,4,36
0.1555,4,37
-0.0506,4,38
0.3251,4,39
-0.0358,4,40
-0.2126,4,41
0.0086,4,42
-0.0859,4,43
0.0403,4,44
0.0284,4,45
0.0738,4,46
0.1111,4,47
0.2253,4,48
0.3524,4,49
0.0628,4,50
0.1386,4,51
0.4879,4,52
0.2319,4,53
-0.0692,4,54
0.1732,4,55
-0.0943,4,56
-0.087,4,57
-0.0814,4,58
-0.0239,4,59
-0.0775,4,60
-0.0131,4,61
-0.1184,4,62
-0.1273,4,63
-0.0344,4,64
-0.101,4,65
-0.0469,4,66
-0.1976,4,67
-0.1711,4,68
0.2655,4,69
0.0784,4,70
-0.316,4,71
-0.2531,4,72
0.0336,4,73
-0.2515,4,74
-0.1465,4,75
-0.0055,4,76
0.0168,4,77
0.0485,4,78
-0.0071,4,79
0.0148,4,80
0.0758,4,81
0.0079,4,82
0.014,4,83
0.0763,4,84
0.0095,4,85
0.1471,4,86
-0.0454,4,87
0.291,4,88
0.0003,4,89
-0.0854,4,90
-0.033,4,91
-0.286,4,92
-0.0534,4,93
0.082,4,94
-0.0712,4,95
0.2236,4,96
0.1802,4,97
-0.037,4,98
-0.1854,4,99
-0.0102,4,100
-0.0449,4,101
0.0598,4,102
0.5227,4,103
-0.1744,4,104
-0.0935,4,105
-0.0667,4,106
0.0764,4,107
-0.018,4,108
0.101,4,109
-0.0987,4,110
