residuo_h1,fold,indice
0.2165,0,0
0.0611,0,1
0.1025,0,2
-0.1926,0,3
-0.076,0,4
-0.2191,0,5
0.1701,0,6
0.036,0,7
-0.0866,0,8
0.1091,0,9
-0.0428,0,10
-0.019,0,11
0.1402,0,12
0.0774,0,13
0.3913,0,14
0.0148,0,15
-0.0627,0,16
-0.0307,0,17
-0.0687,0,18
-0.0006,0,19
0.0606,0,20
-0.0078,0,21
0.1227,0,22
0.1169,0,23
-0.0088,0,24
-0.0602,0,25
-0.0853,0,26
-0.0078,0,27
-0.089,0,28
-0.0137,0,29
-0.0322,0,30
0.1027,0,31
0.0012,0,32
0.2552,0,33
0.0052,0,34
0.2776,0,35
0.0518,0,36
0.0788,0,37
-0.0707,0,38
0.0502,0,39
0.0336,0,40
-0.0022,0,41
-0.0416,0,42
0.0916,0,43
0.1365,0,44
-0.1142,0,45
0.0629,0,46
-0.036,0,47
-0.0607,0,48
0.0374,0,49
0.0083,0,50
0.0603,0,51
0.073,0,52
0.1846,0,53
-0.0823,0,54
0.0021,0,55
-0.0768,0,56
-0.0271,0,57
-0.0379,0,58
0.0147,0,59
-0.1924,0,60
-0.021,0,61
-0.051,0,62
0.0733,0,63
0.0442,0,64
-0.0585,0,65
-0.0325,0,66
0.0683,0,67
-0.0379,0,68
0.0855,0,69
0.0708,0,70
-0.039,0,71
-0.1512,0,72
-0.024,0,73
-0.0186,0,74
0.0203,0,75
-0.01,0,76
-0.0605,0,77
-0.0272,0,78
-0.0293,0,79
-0.0613,0,80
-0.0633,0,81
-0.0238,0,82
-0.0436,0,83
-0.0666,0,84
-0.0638,0,85
0.0336,0,86
0.0128,0,87
-0.0679,0,88
0.0597,0,89
-0.0382,0,90
0.08,0,91
0.0342,0,92
0.1293,0,93
-0.0511,0,94
-0.0661,0,95
0.0376,0,96
0.1842,0,97
-0.0764,0,98
0.0002,0,99
-0.0269,0,100
0.0307,0,101
-0.0671,0,102
-0.0784,0,103
-0.0402,0,104
-0.1363,0,105
-0.0202,0,106
-0.3381,0,107
0.0479,0,108
-0.0664,0,109
-0.0094,0,110
0.1884,1,0
0.0165,1,1
-0.0559,1,2
-0.1859,1,3
-0.0286,1,4
-0.0115,1,5
-0.1523,1,6
0.0176,1,7
